vendor,area,site_name,installed_capacity,latitude,longitude
KSTAR,UPC-07,PBR6712-NB1P4,4.1,13.09133,100.01051
KSTAR,UPC-07,PBR7159-NB1P4,4.1,13.062777,99.96325
KSTAR,UPC-07,PBR8556-NB1P4,4.1,13.13161,99.93192
KSTAR,UPC-07,PBR8563-NB1P4,4.1,13.218581,99.93673
KSTAR,UPC-07,PBR8564-NB1P4,4.1,12.72333,99.92248
KSTAR,UPC-07,PBR8566-NB1P4,4.1,12.65355,99.85855
KSTAR,UPC-07,PBR8574-NB1P4,4.1,13.08361,99.94215
KSTAR,UPC-07,PBR8578-NB1P4,4.1,12.844,99.97231
KSTAR,UPC-07,PCK1204-NB1P4,4.1,12.34736,99.99339
KSTAR,UPC-07,PCK6708-NB1P4,4.1,12.46919,99.81779
KSTAR,UPC-07,PCK8546-NB1P4,4.1,12.33203,99.87691
KSTAR,UPC-07,PCK8567-NB1P4,4.1,12.57633,99.91746
KSTAR,UPC-07,SMK6722-NB1P4,4.1,13.65571,100.30175
KSTAR,UPC-07,SMK8555-NB1P4,4.1,13.56385,100.11666
KSTAR,UPC-07,SPB6010-NB1P4,4.1,14.47609,100.09444
KSTAR,UPC-07,SPB6718-NB1P4,4.1,14.85772,99.57874
KSTAR,UPC-07,SPB6774-NB1P4,4.1,14.57867,100.11389
KSTAR,UPC-07,SPB6792-NB1P4,4.1,14.28431,99.85137
KSTAR,UPC-07,SPB7002-NB1P4,4.1,14.48397,100.11392
KSTAR,UPC-07,SPB8517-NB1P4,4.1,14.51909,100.13377
KSTAR,UPC-07,KCN0044-NB1P4,4.08,14.064665,99.762831
KSTAR,UPC-07,KCN5534-NB1P4,4.08,13.99725,99.51088
KSTAR,UPC-07,KCN6004-NB1P4,4.08,14.11115,99.15191
KSTAR,UPC-07,KCN6011-NB1P4,4.08,13.983321,99.581014
KSTAR,UPC-07,KCN6716-NB1P4,4.08,14.19096,99.7267
KSTAR,UPC-07,KCN6746-NB1P4,4.08,13.82489,99.28429
KSTAR,UPC-07,KCN6764-NB1P4,4.08,13.85125,99.7473
KSTAR,UPC-07,KCN6778-NB1P4,4.08,14.10068,99.7456
KSTAR,UPC-07,KCN6786-NB1P4,4.08,14.14601,99.75253
KSTAR,UPC-07,KCN6788-NB1P4,4.08,13.95493,99.61011
KSTAR,UPC-07,KCN6792-NB1P4,4.08,13.91593,99.67235
KSTAR,UPC-07,KCN6810-NB1P4,4.08,14.00916,99.66498
KSTAR,UPC-07,KCN6818-NB1P4,4.08,14.334,99.753971
KSTAR,UPC-07,NKT6712-NB1P4,4.08,13.99166,100.02801
KSTAR,UPC-07,NKT8544-NB1P4,4.08,13.7232,100.31628
KSTAR,UPC-07,NKT8581-NB1P4,4.08,13.80935,100.20458
KSTAR,UPC-07,PBR0027-NB1P4,4.08,13.0118,100.055
KSTAR,UPC-07,PBR1404-NB1P4,4.08,13.01502,99.95925
KSTAR,UPC-07,PBR6008-NB1P4,4.08,12.87695,99.91747
KSTAR,UPC-07,PBR6710-NB1P4,4.08,13.00537,99.81537
KSTAR,UPC-07,PBR6714-NB1P4,4.08,12.66482,99.79892
KSTAR,UPC-07,PBR6720-NB1P4,4.08,13.19807,99.8263
KSTAR,UPC-07,PBR6737-NB1P4,4.08,12.91024,99.68293
KSTAR,UPC-07,PBR6745-NB1P4,4.08,13.17526,100.01313
KSTAR,UPC-07,PBR6748-NB1P4,4.08,12.99234,100.0055
KSTAR,UPC-07,PBR7161-NB1P4,4.08,12.7897,99.9568
KSTAR,UPC-07,PBR8561-NB1P4,4.08,13.05093,100.03404
KSTAR,UPC-07,PCK6701-NB1P4,4.08,11.28088,99.5267
KSTAR,UPC-07,PCK6710-NB1P4,4.08,12.28504,99.96716
KSTAR,UPC-07,PCK6712-NB1P4,4.08,12.26694,99.81864
KSTAR,UPC-07,PCK6713-NB1P4,4.08,12.5885,99.7396
KSTAR,UPC-07,PCK6714-NB1P4,4.08,12.01476,99.7662
KSTAR,UPC-07,PCK7275-NB1P4,4.08,12.61543,99.92808
KSTAR,UPC-07,PCK7601-NB1P4,4.08,12.592425,99.864615
KSTAR,UPC-07,PCK8537-NB1P4,4.08,11.52808,99.63116
KSTAR,UPC-07,RCB1206-NB1P4,4.08,13.71058,99.4557
KSTAR,UPC-07,RCB1504-NB1P4,4.08,13.516667,99.616389
KSTAR,UPC-07,RCB6020-NB1P4,4.08,13.71398,99.77767
KSTAR,UPC-07,RCB6717-NB1P4,4.08,13.41869,99.6887
KSTAR,UPC-07,RCB6723-NB1P4,4.08,13.70434,99.19963
KSTAR,UPC-07,RCB6727-NB1P4,4.08,13.70305,99.51102
KSTAR,UPC-07,RCB6732-NB1P4,4.08,13.54721,99.29707
KSTAR,UPC-07,RCB6748-NB1P4,4.08,13.7673,99.7461
KSTAR,UPC-07,RCB6751-NB1P4,4.08,13.555789,99.506469
KSTAR,UPC-07,RCB7004-NB1P4,4.08,13.84234,99.84423
KSTAR,UPC-07,RCB8587-NB1P4,4.08,13.77555,99.93569
KSTAR,UPC-07,RCB8608-NB1P4,4.08,13.4134,99.83241
KSTAR,UPC-07,SMS6703-NB1P4,4.08,13.34236,99.86785
KSTAR,UPC-07,SPB0024-NB1P4,4.08,14.4601,100.184
KSTAR,UPC-07,SPB1401-NB1P4,4.08,14.43165,100.1106
KSTAR,UPC-07,SPB1521-NB1P4,4.08,14.39664,100.11611
KSTAR,UPC-07,SPB1530-NB1P4,4.08,14.39405,100.01506
KSTAR,UPC-07,SPB1531-NB1P4,4.08,14.33615,100.06424
KSTAR,UPC-07,SPB5545-NB1P4,4.08,14.76614,99.72767
KSTAR,UPC-07,SPB6705-NB1P4,4.08,14.387615,99.934017
KSTAR,UPC-07,SPB6744-NB1P4,4.08,14.708858,100.099965
KSTAR,UPC-07,SPB6755-NB1P4,4.08,14.89018,100.02231
KSTAR,UPC-07,SPB6760-NB1P4,4.08,14.54967,100.0715
KSTAR,UPC-07,SPB6761-NB1P4,4.08,14.426434,100.137389
KSTAR,UPC-07,SPB6765-NB1P4,4.08,14.549,100.03923
KSTAR,UPC-07,SPB6767-NB1P4,4.08,14.55843,99.89821
KSTAR,UPC-07,SPB6768-NB1P4,4.08,14.63787,99.8721
KSTAR,UPC-07,SPB6769-NB1P4,4.08,14.605854,100.068509
KSTAR,UPC-07,SPB6770-NB1P4,4.08,14.166968,100.008708
KSTAR,UPC-07,SPB6776-NB1P4,4.08,14.821233,99.980486
KSTAR,UPC-07,SPB7182-NB1P4,4.08,14.403941,99.892623
KSTAR,UPC-07,SPB7242-NB1P4,4.08,14.122375,99.870964
KSTAR,UPC-07,SPB8514-NB1P4,4.08,14.499302,100.132937
KSTAR,UPC-07,SPB8527-NB1P4,4.08,14.1626,100.101998
KSTAR,UPC-07,NKT0026-NB1P4,4,14.0119,99.9346
KSTAR,UPC-07,NKT1205-NB1P4,4,13.888616,99.938905
KSTAR,UPC-07,NKT1504-NB1P4,4,13.84448,100.072
KSTAR,UPC-07,NKT6701-NB1P4,4,14.079034,100.2077
KSTAR,UPC-07,NKT6711-NB1P4,4,13.92532,100.10762
KSTAR,UPC-07,NKT7256-NB1P4,4,13.83304,100.00766
KSTAR,UPC-07,NKT8534-NB1P4,4,13.8323,100.0311
KSTAR,UPC-07,NKT8542-NB1P4,4,13.6928,100.2525
KSTAR,UPC-07,NKT8556-NB1P4,4,13.83733,100.094
KSTAR,UPC-07,NKT8558-NB1P4,4,13.8102,100.08581
KSTAR,UPC-07,NKT8644-NB1P4,4,13.73966,100.29469
KSTAR,UPC-07,NKT8659-NB1P4,4,14.01993,100.20199
KSTAR,UPC-07,PBR7110-NB1P5,4,13.09328,99.94177
KSTAR,UPC-07,PBR8511-NB1P4,4,12.804428,99.959707
KSTAR,UPC-07,PBR8528-NB1P4,4,13.06752,99.94838
KSTAR,UPC-07,PCK1001-NB1P4,4,12.2258,99.9831
KSTAR,UPC-07,PCK1002-NB1P4,4,12.3961,99.9878
KSTAR,UPC-07,PCK1201-NB1P4,4,11.21977,99.55136
KSTAR,UPC-07,PCK6715-NB1P4,4,11.84303,99.80716
KSTAR,UPC-07,PCK8557-NB1P4,4,11.045501,99.482101
KSTAR,UPC-07,RCB0010-NB1P4,4,13.686274,99.859086
KSTAR,UPC-07,RCB0022-NB1P4,4,13.7376,99.9135
KSTAR,UPC-07,RCB1003-NB1P4,4,13.563336,99.753607
KSTAR,UPC-07,RCB1008-NB1P4,4,13.590421,99.891626
KSTAR,UPC-07,RCB1009-NB1P4,4,13.607,99.759
KSTAR,UPC-07,RCB1014-NB1P4,4,13.548889,99.443192
KSTAR,UPC-07,RCB1205-NB1P4,4,13.746999,99.716555
KSTAR,UPC-07,RCB1522-NB1P4,4,13.5913,99.808
KSTAR,UPC-07,RCB7184-NB1P4,4,13.6295,99.8319
KSTAR,UPC-07,RCB8532-NB1P4,4,13.67164,99.875
KSTAR,UPC-07,RCB8543-NB1P4,4,13.5631,99.7757
KSTAR,UPC-07,RCB8555-NB1P4,4,13.51264,99.82957
KSTAR,UPC-07,RCB8629-NB1P4,4,13.5196,99.7498
KSTAR,UPC-07,SMK1003-NB1P4,4,13.624,100.223
KSTAR,UPC-07,SMK1016-NB1P4,4,13.6469,100.316
KSTAR,UPC-07,SMK6715-NB1P4,4,13.573271,100.346541
KSTAR,UPC-07,SMK6718-NB1P4,4,13.54636,100.225488
KSTAR,UPC-07,SMK7001-NB1P4,4,13.53298,100.27927
KSTAR,UPC-07,SMK7101-NB1P4,4,13.562155,100.229641
KSTAR,UPC-07,SMK7108-NB1P4,4,13.701171,100.283516
KSTAR,UPC-07,SMK7110-NB1P4,4,13.572132,100.267161
KSTAR,UPC-07,SMK7138-NB1P4,4,13.508976,100.129452
KSTAR,UPC-07,SMK7144-NB1P4,4,13.606106,100.296395
KSTAR,UPC-07,SMK8501-NB1P4,4,13.543974,100.259473
KSTAR,UPC-07,SMK8503-NB1P4,4,13.543093,100.247368
KSTAR,UPC-07,SMK8505-NB1P4,4,13.564517,100.261169
KSTAR,UPC-07,SMK8506-NB1P4,4,13.534962,100.247392
KSTAR,UPC-07,SMK8514-NB1P4,4,13.583981,100.308145
KSTAR,UPC-07,SMK8527-NB1P4,4,13.651574,100.257779
KSTAR,UPC-07,SMK8536-NB1P4,4,13.696122,100.299689
KSTAR,UPC-07,SMK8540-NB1P4,4,13.709101,100.307191
KSTAR,UPC-07,SMK8542-NB1P4,4,13.671155,100.309584
KSTAR,UPC-07,SMK8573-NB1P4,4,13.523597,100.27371
KSTAR,UPC-07,SMK8575-NB1P4,4,13.655339,100.282798
KSTAR,UPC-07,SMK8579-NB1P4,4,13.60157,100.306841
KSTAR,UPC-07,SMK8581-NB1P4,4,13.597369,100.324298
KSTAR,UPC-07,SMK8599-NB1P4,4,13.684161,100.27711
KSTAR,UPC-07,SMK8601-NB1P4,4,13.638945,100.326233
KSTAR,UPC-07,SMK8605-NB1P4,4,13.578004,100.334046
KSTAR,UPC-07,SMK8625-NB1P4,4,13.568231,100.367358
KSTAR,UPC-07,SMS8505-NB1P4,4,13.41707,99.9782
KSTAR,UPC-07,SMS8524-NB1P4,4,13.38265,99.97718
KSTAR,UPC-08,CPN6701-NB1P5,5.17,10.68445,99.32042
KSTAR,UPC-08,CPN6743-NB1P5,5.17,9.7433,99.136104
KSTAR,UPC-08,CPN6759-NB1P5,5.17,10.694097,99.132504
KSTAR,UPC-08,CPN7208-NB1P5,5.17,10.87947,99.13673
KSTAR,UPC-08,KBI0003-NB1P5,5.17,8.07292,98.9057
KSTAR,UPC-08,KBI0007-NB1P5,5.17,8.26139,99.0518
KSTAR,UPC-08,KBI1041-NB1P5,5.17,8.08432,98.74705
KSTAR,UPC-08,KBI1079-NB1P5,5.17,8.08235,98.89029
KSTAR,UPC-08,PNA0008-NB1P5,5.17,9.19186,98.4115
KSTAR,UPC-08,PNA0013-NB1P5,5.17,8.86033,98.311
KSTAR,UPC-08,PNA0017-NB1P5,5.17,8.45831,98.2546
KSTAR,UPC-08,PNA0023-NB1P5,5.17,8.42467,98.47822
KSTAR,UPC-08,PNA0037-NB1P5,5.17,8.26812,98.331
KSTAR,UPC-08,PNA6702-NB1P5,5.17,8.26583,98.28083
KSTAR,UPC-08,PNA7135-NB1P4,5.17,8.67323,98.2534
KSTAR,UPC-08,RNG0003-NB1P5,5.17,9.977533,98.6392
KSTAR,UPC-08,RNG0009-NB1P5,5.17,10.51091,98.82711
KSTAR,UPC-08,RNG1036-NB1P5,5.17,9.93783,98.63443
KSTAR,UPC-08,RNG1041-NB1P5,5.17,9.602957,98.542018
KSTAR,UPC-08,SRT0014-NB1P5,5.17,8.805497,99.363899
KSTAR,UPC-08,SRT1063-NB1P5,5.17,8.619892,98.970998
KSTAR,UPC-08,SRT0012-NB1P5,5.1,9.562916,99.167698
KSTAR,UPC-08,SRT0032-NB1P5,5.1,9.335453,99.154201
KSTAR,UPC-08,SRT0072-NB1P5,5.1,8.723001,98.799085
KSTAR,UPC-08,SRT0075-NB1P5,5.1,9.074966,99.352401
KSTAR,UPC-08,SRT1144-NB1P5,5.1,9.262893,99.706006
KSTAR,UPC-08,SRT1146-NB1P5,5.1,9.322685,99.741228
KSTAR,UPC-08,SRT6776-NB1P5,5.1,9.160397,99.4411
KSTAR,UPC-08,SRT6835-NB1P5,5.1,9.587197,98.926001
KSTAR,UPC-08,SRT6855-NB1P5,5.1,8.9327,99.26954
KSTAR,UPC-08,SRT8613-NB1P5,5.1,8.77896,99.32075
KSTAR,UPC-08,CPN0011-NB1P5,5,10.5202,99.1183
KSTAR,UPC-08,CPN1018-NB1P5,5,10.2605,99.19103
KSTAR,UPC-08,CPN1028-NB1P5,5,9.941671,99.097514
KSTAR,UPC-08,CPN8501-NB1P5,5,10.500652,99.187463
KSTAR,UPC-08,KBI1011-NB1P5,5,8.090829,98.810556
KSTAR,UPC-08,KBI6769-NB1P4,5,7.76548,99.2207
KSTAR,UPC-08,KBI8515-NB1P4,5,8.10481,98.91468
KSTAR,UPC-08,PKT0005-NB1P5,5,7.884863,98.405398
KSTAR,UPC-08,PKT0008-NB1P5,5,7.8972,98.43386
KSTAR,UPC-08,PKT0011-NB1P5,5,7.77873,98.32486
KSTAR,UPC-08,PKT0016-NB1P5,5,8.075224,98.3007
KSTAR,UPC-08,PKT0017-NB1P5,5,7.91725,98.34517
KSTAR,UPC-08,PKT0024-NB1P5,5,8.059253,98.4059
KSTAR,UPC-08,PKT0027-NB1P5,5,7.8508,98.33561
KSTAR,UPC-08,PKT0028-NB1P5,5,7.98086,98.3247
KSTAR,UPC-08,PKT0031-NB1P5,5,7.85553,98.37894
KSTAR,UPC-08,PKT0033-NB1P5,5,7.79383,98.3107
KSTAR,UPC-08,PKT0040-NB1P5,5,7.85151,98.35606
KSTAR,UPC-08,PKT0054-NB1P5,5,7.835387,98.393097
KSTAR,UPC-08,PKT0060-NB1P5,5,8.12861,98.33694
KSTAR,UPC-08,PKT0062-NB1P5,5,7.916113,98.374
KSTAR,UPC-08,PKT1002-NB1P5,5,8.15917,98.3061
KSTAR,UPC-08,PKT1003-NB1P5,5,8.130399,98.30704
KSTAR,UPC-08,SRT0002-NB1P5,5,9.112559,99.309901
KSTAR,UPC-08,SRT1042-NB1P5,5,9.145,99.36389
KSTAR,UPC-08,SRT1111-NB1P5,5,9.144779,99.219796
KSTAR,UPC-08,SRT1162-NB1P5,5,8.877007,99.4149
KSTAR,UPC-08,SRT8611-NB1P5,5,9.10733,99.3762
KSTAR,UPC-08,CPN0035-NB1P4,4.92,10.46,99.13236
KSTAR,UPC-08,KBI1012-NB1P5,4.92,8.054556,98.757644
KSTAR,UPC-08,KBI1014-NB1P5,4.92,8.28639,98.65555
KSTAR,UPC-08,KBI1019-NB1P5,4.92,8.57111,98.91611
KSTAR,UPC-08,KBI6710-NB1P5,4.92,7.94663,99.18556
KSTAR,UPC-08,KBI7115-NB1P5,4.92,8.10668,98.93057
KSTAR,UPC-08,KBI8539-NB1P5,4.92,7.975723,98.955955
KSTAR,UPC-08,SRT8656-NB1P4,4.92,9.096092,99.252726
KSTAR,UPC-08,CPN0014-NB1P4,4.14,10.876257,99.250855
KSTAR,UPC-08,CPN0036-NB1P4,4.14,9.5812,99.0422
KSTAR,UPC-08,CPN1051-NB1P4,4.14,10.54943,99.24348
KSTAR,UPC-08,CPN1056-NB1P4,4.14,10.7179,99.2046
KSTAR,UPC-08,CPN1062-NB1P4,4.14,10.424543,99.182588
KSTAR,UPC-08,CPN6702-NB1P4,4.14,10.716703,99.254803
KSTAR,UPC-08,CPN6703-NB1P4,4.14,10.762496,99.3379
KSTAR,UPC-08,CPN6716-NB1P4,4.14,10.49717,99.02803
KSTAR,UPC-08,CPN6717-NB1P4,4.14,10.109415,99.080092
KSTAR,UPC-08,CPN6718-NB1P4,4.14,8.0768,98.83248
KSTAR,UPC-08,CPN6719-NB1P4,4.14,10.16447,98.9679
KSTAR,UPC-08,CPN6747-NB1P4,4.14,10.47463,99.21326
KSTAR,UPC-08,CPN6749-NB1P4,4.14,10.45766,99.1773
KSTAR,UPC-08,CPN6751-NB1P4,4.14,10.53312,99.13686
KSTAR,UPC-08,CPN6758-NB1P4,4.14,9.75468,99.04282
KSTAR,UPC-08,CPN6760-NB1P4,4.14,9.79138,99.13657
KSTAR,UPC-08,KBI0039-NB1P4,4.14,8.2757,98.47434
KSTAR,UPC-08,KBI1036-NB1P4,4.14,8.05221,98.23874
KSTAR,UPC-08,KBI1044-NB1P4,4.14,8.0768,98.83248
KSTAR,UPC-08,KBI1061-NB1P4,4.14,7.73154,99.17819
KSTAR,UPC-08,KBI6706-NB1P4,4.14,8.09541,99.3375
KSTAR,UPC-08,KBI6718-NB1P4,4.14,8.53622,98.22917
KSTAR,UPC-08,KBI6720-NB1P4,4.14,8.0768,98.83248
KSTAR,UPC-08,KBI6732-NB1P4,4.14,8.22917,98.80717
KSTAR,UPC-08,KBI6733-NB1P4,4.14,8.36264,98.89974
KSTAR,UPC-08,KBI6736-NB1P4,4.14,8.44952,98.85397
KSTAR,UPC-08,KBI6737-NB1P4,4.14,8.50515,98.88941
KSTAR,UPC-08,KBI6740-NB1P4,4.14,8.54123,98.72558
KSTAR,UPC-08,KBI6741-NB1P4,4.14,8.675904,98.785502
KSTAR,UPC-08,KBI6752-NB1P4,4.14,7.79068,99.17529
KSTAR,UPC-08,KBI6755-NB1P4,4.14,8.36226,98.75373
KSTAR,UPC-08,KBI6757-NB1P4,4.14,8.2113,99.0312
KSTAR,UPC-08,KBI6759-NB1P4,4.14,8.26705,99.09818
KSTAR,UPC-08,KBI6760-NB1P4,4.14,8.18246,98.96102
KSTAR,UPC-08,KBI6771-NB1P4,4.14,8.05539,99.2695
KSTAR,UPC-08,CPN0034-NB1P4,4.1,10.339598,99.108595
KSTAR,UPC-08,CPN1008-NB1P4,4.1,9.76497,99.07928
KSTAR,UPC-08,CPN1030-NB1P4,4.1,10.453892,99.214446
KSTAR,UPC-08,CPN6772-NB1P4,4.1,10.48274,99.1712
KSTAR,UPC-08,CPN6774-NB1P4,4.1,9.99324,99.06897
KSTAR,UPC-08,CPN6783-NB1P4,4.1,10.495751,99.180552
KSTAR,UPC-08,CPN7140-NB1P4,4.1,10.48978,99.18889
KSTAR,UPC-08,CPN8507-NB1P4,4.1,10.49968,99.18405
KSTAR,UPC-08,CPN8516-NB1P4,4.1,10.43442,99.24373
KSTAR,UPC-08,KBI0029-NB1P5,4.1,8.055081,98.855796
KSTAR,UPC-08,KBI1023-NB1P5,4.1,8.03999,99.03333
KSTAR,UPC-08,KBI6746-NB1P4,4.1,7.56,99.0625
KSTAR,UPC-08,KBI6749-NB1P4,4.1,7.49974,99.0725
KSTAR,UPC-08,KBI6779-NB1P4,4.1,7.56604,99.03996
KSTAR,UPC-08,KBI8500-NB1P4,4.1,8.10129,98.91023
KSTAR,UPC-08,KBI6775-NB1P4,4.08,8.10557,98.9054
KSTAR,UPC-08,KBI6781-NB1P4,4.08,7.84128,99.231133
KSTAR,UPC-08,PNA0029-NB1P4,4.08,8.46353,98.59222
KSTAR,UPC-08,PNA6710-NB1P4,4.08,8.8308,98.3137
KSTAR,UPC-08,PNA6711-NB1P4,4.08,8.8308,98.3137
KSTAR,UPC-08,PNA6730-NB1P4,4.08,8.55689,98.64159
KSTAR,UPC-08,RNG0018-NB1P4,4.08,9.91153,98.6312
KSTAR,UPC-08,RNG0019-NB1P4,4.08,9.74761,98.58442
KSTAR,UPC-08,RNG6702-NB1P4,4.08,10.3516,98.7875
KSTAR,UPC-08,SRT1199-NB1P4,4.08,9.07979,99.16253
KSTAR,UPC-08,SRT1203-NB1P4,4.08,8.83954,99.36737
KSTAR,UPC-08,SRT6754-NB1P4,4.08,9.03913,99.4398
KSTAR,UPC-08,SRT6807-NB1P4,4.08,8.99649,99.52053
KSTAR,UPC-08,SRT6834-NB1P4,4.08,9.54515,99.19992
KSTAR,UPC-08,SRT6912-NB1P4,4.08,8.97225,99.25974
KSTAR,UPC-08,CPN0003-NB1P4,4,10.39767,99.27848
KSTAR,UPC-08,CPN8526-NB1P4,4,10.71968,99.35035
KSTAR,UPC-08,KBI8504-NB1P4,4,8.0962,98.91181
KSTAR,UPC-08,KBI8510-NB1P4,4,8.05924,98.90993
KSTAR,UPC-08,KBI8516-NB1P4,4,8.10384,98.95918
KSTAR,UPC-08,PKT1007-NB1P4,4,8.067781,98.430001
KSTAR,UPC-08,PKT1010-NB1P4,4,7.95461,98.29186
KSTAR,UPC-08,PKT1016-NB1P4,4,7.906996,98.362057
KSTAR,UPC-08,PKT1020-NB1P4,4,7.88225,98.425087
KSTAR,UPC-08,PKT1021-NB1P4,4,7.905278,98.398892
KSTAR,UPC-08,PKT1028-NB1P4,4,7.931936,98.375827
KSTAR,UPC-08,PKT1038-NB1P4,4,7.859849,98.365504
KSTAR,UPC-08,PKT1040-NB1P4,4,7.963899,98.380424
KSTAR,UPC-08,PKT1043-NB1P4,4,8.02354,98.33268
KSTAR,UPC-08,PKT1044-NB1P4,4,8.014143,98.316729
KSTAR,UPC-08,PKT1046-NB1P4,4,8.04783,98.33777
KSTAR,UPC-08,PKT1049-NB1P4,4,7.825167,98.3335
KSTAR,UPC-08,PNA0024-NB1P4,4,8.434106,98.511904
KSTAR,UPC-08,PNA0038-NB1P4,4,8.801029,98.264896
KSTAR,UPC-08,PNA1013-NB1P4,4,8.68834,98.25195
KSTAR,UPC-08,PNA8518-NB1P4,4,8.86933,98.35434
KSTAR,UPC-08,RNG7125-NB1P4,4,9.95342,98.607739
KSTAR,UPC-08,RNG8502-NB1P4,4,9.96148,98.6212
KSTAR,UPC-08,SRT0062-NB1P4,4,9.11167,99.27417
KSTAR,UPC-08,SRT1011-NB1P4,4,9.1318,99.48583
KSTAR,UPC-08,SRT1022-NB1P4,4,9.04667,99.365558
KSTAR,UPC-08,SRT1047-NB1P4,4,9.16303,99.34694
KSTAR,UPC-08,SRT1058-NB1P4,4,9.12588,99.20524
KSTAR,UPC-08,SRT1077-NB1P4,4,8.62472,99.33819
KSTAR,UPC-08,SRT1084-NB1P4,4,9.164333,99.297917
KSTAR,UPC-08,SRT6700-NB1P4,4,9.12318,99.32344
KSTAR,UPC-08,SRT6748-NB1P4,4,8.7232,99.2966
KSTAR,UPC-08,SRT6758-NB1P4,4,9.09595,99.77164
KSTAR,UPC-08,SRT6777-NB1P4,4,9.610599,99.125698
KSTAR,UPC-08,SRT6822-NB1P4,4,8.54588,99.06563
KSTAR,UPC-08,SRT6836-NB1P4,4,9.599204,99.166002
KSTAR,UPC-08,SRT7242-NB1P4,4,9.12571,99.36174
KSTAR,UPC-08,SRT8502-NB1P4,4,9.13976,99.3271
KSTAR,UPC-08,SRT8504-NB1P4,4,9.15732,99.34499
KSTAR,UPC-08,SRT8508-NB1P4,4,9.139671,99.363745
KSTAR,UPC-08,SRT8515-NB1P4,4,9.13859,99.33189
KSTAR,UPC-08,SRT8529-NB1P4,4,9.1279,99.32236
KSTAR,UPC-08,SRT8545-NB1P4,4,9.12332,99.30636
KSTAR,UPC-08,SRT8552-NB1P4,4,9.12712,99.32838
KSTAR,UPC-08,SRT8555-NB1P4,4,9.1057,99.31165
KSTAR,UPC-08,SRT8564-NB1P4,4,9.12347,99.28137
KSTAR,UPC-08,SRT8584-NB1P4,4,9.078602,99.311858
